stock,cluster_id,anomaly_score,sector_id,x,y
WYNN UW Equity,2,0.2548988510545532,1,17.55086445701781,-0.018871218779875965
PTC UW Equity,1,0.14123320986553192,7,-3.3314524733090987,0.18980562286837235
CDNS UW Equity,1,0.14333616899659576,7,-3.4461168399740396,0.3536983451194291
PFG UW Equity,0,0.18632463241106384,4,6.719617312295481,0.3192414389595043
UAL UW Equity,0,0.18770007824085108,6,6.984954125606004,0.06098487586813431
BX UN Equity,0,0.16391314245021277,4,6.607051067399479,0.26510458490679933
IDXX UW Equity,0,0.15964623675327658,5,6.647084022346151,0.28902168476770473
PM UN Equity,2,0.24529116571404253,2,17.653016232518162,-0.5742528835306207
BF/B UN Equity,0,0.19083834223634044,2,7.00769674432707,0.44816634688307516
DECK UN Equity,0,0.2109501227563149,1,6.971380950022413,0.6274395054361829
TMUS UW Equity,2,0.23767486733702126,0,17.272336740844455,-0.2703362433320893
COST UW Equity,2,0.23904250810127664,2,17.575233199548144,-0.24668451776869357
PEP UW Equity,2,0.2278499798987234,2,17.416800058762902,-0.1651249730578434
EOG UN Equity,0,0.1980193058953192,3,6.851600976451649,0.1380149861279138
PLTR UW Equity,0,0.19029812623182982,7,7.0866768817218215,0.3965623119565295
J UN Equity,0,0.15645966845361703,6,6.587183121849862,0.8233440193650742
ODFL UW Equity,1,0.1180455676388085,6,-3.7541417805077058,-0.09006215084020536
ON UW Equity,1,0.14179240418688513,7,-3.6409339063004214,0.27265951549830403
AEE UN Equity,0,0.17314452494638297,10,6.452851543368762,0.29224863816109675
AME UN Equity,1,0.14553170031676596,6,-3.698247034348125,0.31333467147834776
JBHT UW Equity,0,0.14878266798098724,6,6.704190019575973,0.29774875395556555
WRB UN Equity,0,0.16645420200085104,4,6.8094609169091616,0.579053369149851
INVH UN Equity,1,0.14291617940859574,9,-3.546949180697435,0.3495588884546284
ZTS UN Equity,1,0.14173637885668086,5,-3.494230683954983,0.5188433031727111
OTIS UN Equity,0,0.15772590060949787,6,6.571560867731998,0.7647386817272903
CTAS UW Equity,1,0.13690149976297872,6,-3.270807334013111,1.0397147092518981
CMS UN Equity,0,0.17127597415580426,10,6.620779347318441,0.5816644609100321
TEL UN Equity,0,0.15424870619957445,7,6.7681735302953365,0.9362136575430215
BEN UN Equity,0,0.15025437541531916,4,6.654035024113563,0.8433375684893137
WBD UW Equity,2,0.2522179808534468,0,17.630463814906193,0.09381911412885548
CBRE UN Equity,0,0.17470526880655318,9,7.2110402598813605,0.8647596524841044
PHM UN Equity,0,0.21460228541957446,1,7.327900230741713,0.8179993240065201
DG UN Equity,0,0.2156071312561702,2,7.3333844456366455,1.286549036675925
TJX UN Equity,2,0.23864039663489364,1,17.75087626193282,0.6491790132288183
NWS UW Equity,2,0.26779835208085107,0,17.7198373141855,0.8685774381026499
FRT UN Equity,1,0.1450353024561702,9,-3.4326198303844784,0.5278721179839057
PAYC UN Equity,0,0.15462715581531913,6,6.621663869467209,0.6785109022867996
VTRS UW Equity,0,0.15988338936893615,5,6.82339589588071,0.25408631440058993
LII UN Equity,3,0.32925836098297867,6,-1.3108267471070927,-9.22492343543517
SWKS UW Equity,1,0.1458419964204255,7,-3.296435417035852,1.064750001019004
WSM UN Equity,2,0.23669555822382973,1,17.801633952628833,0.4421690398938095
STLD UW Equity,0,0.15089072925676594,8,6.7019541653581225,1.1811960407104105
BKR UW Equity,0,0.18559890317191488,3,7.153690306509658,0.6908731555058267
ADM UN Equity,2,0.23108951413021278,2,17.40099252516047,1.1193419765930406
LIN UW Equity,0,0.1837124607382128,8,6.86828939104139,0.8574336872446984
ADSK UW Equity,0,0.17116913428595745,7,6.751891550196157,1.1830168102879788
EXE UW Equity,2,0.2570597847585532,3,17.510932616000225,0.768894119246156
FOXA UW Equity,0,0.22020766371719147,0,7.250781587384381,0.4802298167220235
CPB UW Equity,2,0.23858639828255318,2,17.52256621729127,1.3153458335983477
TSN UN Equity,0,0.22140181660085106,2,7.453575558926557,0.5930484613741269
LHX UN Equity,0,0.1639517762093617,6,6.967568899181666,0.5308063435348561
NRG UN Equity,0,0.18154791622078298,10,6.855351606089611,0.7577573182221204
RVTY UN Equity,1,0.12948737562340423,5,-3.687309183772099,0.4803134849311007
L UN Equity,0,0.18332107180595744,4,6.8787376898710075,1.0913661051466317
WAB UN Equity,1,0.14769415387293616,6,-3.602497560549779,0.8956601858025255
RMD UN Equity,1,0.14157777407157449,5,-3.632565568994478,1.0984202250391377
GM UN Equity,2,0.2313813920459574,1,17.276378873583802,0.9705214914327811
STX UW Equity,0,0.22121229908032344,7,7.380113510747704,1.137669477259484
EXPD UN Equity,1,0.138750187406383,6,-3.625726146252893,1.282638057066624
DE UN Equity,0,0.15739454356510638,6,6.638362540432796,1.1008566243023366
CSX UW Equity,1,0.13646140708723403,6,-3.2212624347058654,1.3922396346389356
HCA UN Equity,0,0.16228272515914893,5,6.868417726634816,0.7037621714110143
EXPE UW Equity,2,0.24089605075829787,1,17.423120692103684,1.1435336872807669
CMCSA UW Equity,2,0.23949218557276591,0,17.580969303597655,1.3190609258530162
APO UN Equity,0,0.18153115915234044,4,6.58623836990593,0.5045933461398519
BALL UN Equity,1,0.14775106983829786,8,-3.5473773596610965,1.4911203139546203
WAT UN Equity,1,0.13171481984382977,5,-3.463683001941304,1.2839527525564478
AVB UN Equity,1,0.14269681481617022,9,-3.611703081000343,1.3338965879163327
BIIB UW Equity,0,0.19266296586042556,5,6.914735707277858,1.1208731645595154
CMI UN Equity,1,0.14558802726834044,6,-3.3067280739179292,1.7423290218606802
HSY UN Equity,2,0.2227165750055319,2,17.431843943380205,2.1393288044572687
ABNB UW Equity,2,0.2389847993923404,1,17.42285948002518,1.674359855249659
EG UN Equity,0,0.171148570133617,4,6.699628264535155,1.0145063227162436
HOOD UW Equity,3,0.3333172093787234,4,-1.4918689356959987,-8.977660210760721
SYK UN Equity,0,0.16093954053021275,5,6.363711955904897,1.2724623369688874
TSCO UW Equity,0,0.21933747035787235,1,7.169132137656911,1.3582698635089598
ZBH UN Equity,0,0.17026117407489363,5,6.670570828823202,1.2425073778822198
EXR UN Equity,1,0.12108865784549787,9,-3.6412385143602943,1.5583594857899061
VTR UN Equity,0,0.21174318808340425,9,7.205237277613309,1.4231458541254196
BLK UN Equity,0,0.15369539302212765,4,6.804044182508756,1.315580989224131
KMB UW Equity,5,0.3988065741361702,2,9.329183462899017,-10.830698937286892
PRU UN Equity,0,0.17360377211574468,4,6.80553759751749,1.4159598850096375
DELL UN Equity,0,0.16322100019319147,7,6.580658503080311,1.1324409558057082
VICI UN Equity,1,0.14558951799478298,9,-3.4699443454505614,1.3656145016397465
CVX UN Equity,0,0.20074400405957446,3,7.11349024734455,1.288871980979221
TRGP UN Equity,2,0.23628976124170212,3,17.63651741398585,1.4016454059736725
FTV UN Equity,1,0.14213986822468086,6,-3.488118880210918,1.479564794437274
FSLR UW Equity,0,0.1757289621480851,7,7.0215772570834645,1.4081344215152318
MTD UN Equity,3,0.29220901906723407,5,-2.085580296431358,-8.66392457889276
ED UN Equity,0,0.16352461469097873,10,6.592016119763517,1.589238079119255
HPQ UN Equity,0,0.1532806532825532,7,6.49623830757065,1.3108362301226644
